index,abs_error_float,abs_error_lsb
849,0.00111815,0.286246
850,0.00007869,0.020146
851,0.00170860,0.437402
852,0.00005235,0.013401
853,0.00010106,0.025872
854,0.00125412,0.321054
855,0.00069437,0.177758
856,0.00027591,0.070633
857,0.00236004,0.604171
858,0.00017602,0.045060
859,0.00158998,0.407035
860,0.00140334,0.359255
861,0.00178831,0.457807
862,0.00194343,0.497518
863,0.00209214,0.535589
864,0.00141073,0.361147
865,0.00082781,0.211918
866,0.00276633,0.708181
867,0.00078426,0.200770
868,0.00102776,0.263106
869,0.00205234,0.525400
870,0.00018662,0.047776
871,0.00032681,0.083664
872,0.00096568,0.247215
873,0.00021699,0.055550
874,0.00189121,0.484149
875,0.00113072,0.289465
876,0.00284056,0.727184
877,0.00078651,0.201345
878,0.00054068,0.138414
879,0.00043242,0.110700
880,0.00111734,0.286040
881,0.00207227,0.530502
882,0.00136086,0.348379
883,0.00149300,0.382209
884,0.00121921,0.312117
885,0.00085814,0.219683
886,0.00277725,0.710975
887,0.00000775,0.001984
888,0.00079595,0.203763
889,0.00044290,0.113382
890,0.00020085,0.051419
891,0.00082569,0.211376
892,0.00132048,0.338044
893,0.00141876,0.363203
894,0.00159969,0.409521
895,0.00228705,0.585484
896,0.00020217,0.051755
897,0.00057072,0.146104
898,0.00231727,0.593221
899,0.00232857,0.596113
900,0.00233374,0.597437
901,0.00046328,0.118600
902,0.00370868,0.949422
903,0.00120346,0.308087
904,0.00020022,0.051255
905,0.00073652,0.188550
906,0.00218004,0.558090
907,0.00038982,0.099794
908,0.00002714,0.006947
909,0.00045988,0.117730
910,0.00022462,0.057503
911,0.00059734,0.152919
912,0.00374646,0.959093
913,0.00129472,0.331449
914,0.00012355,0.031629
915,0.00172156,0.440720
916,0.00010243,0.026223
917,0.00013937,0.035679
918,0.00166830,0.427084
919,0.00068668,0.175790
920,0.00005050,0.012927
921,0.00204742,0.524139
922,0.00024722,0.063289
923,0.00182223,0.466490
924,0.00179977,0.460741
925,0.00139993,0.358381
926,0.00194456,0.497808
927,0.00211174,0.540607
928,0.00159743,0.408941
929,0.00055002,0.140806
930,0.00294167,0.753069
931,0.00054557,0.139667
932,0.00100248,0.256635
933,0.00161354,0.413065
934,0.00013302,0.034054
935,0.00061350,0.157055
936,0.00055428,0.141895
937,0.00003582,0.009170
938,0.00191851,0.491138
939,0.00129633,0.331860
940,0.00274653,0.703113
941,0.00066087,0.169183
942,0.00025717,0.065837
943,0.00014726,0.037698
944,0.00125602,0.321541
945,0.00189601,0.485380
946,0.00147379,0.377290
947,0.00137631,0.352336
948,0.00144503,0.369928
949,0.00108053,0.276615
950,0.00254656,0.651919
951,0.00031530,0.080717
952,0.00088754,0.227211
953,0.00045332,0.116051
954,0.00026724,0.068413
955,0.00079352,0.203140
956,0.00165160,0.422811
957,0.00136690,0.349927
958,0.00133209,0.341016
959,0.00248065,0.635046
960,0.00032178,0.082375
961,0.00095360,0.244122
962,0.00222757,0.570258
963,0.00262043,0.670829
964,0.00267217,0.684076
965,0.00060276,0.154306
966,0.00415458,1.063573
967,0.00119800,0.306689
968,0.00014251,0.036483
969,0.00099092,0.253676
970,0.00209109,0.535319
971,0.00066497,0.170233
972,0.00038688,0.099042
973,0.00047425,0.121409
974,0.00013959,0.035734
975,0.00075733,0.193877
976,0.00363123,0.929596
977,0.00124132,0.317777
978,0.00003728,0.009543
979,0.00174326,0.446273
980,0.00026460,0.067737
981,0.00001940,0.004966
982,0.00162969,0.417200
983,0.00056666,0.145064
984,0.00012985,0.033242
985,0.00236709,0.605975
986,0.00034703,0.088839
987,0.00165987,0.424926
988,0.00155636,0.398429
989,0.00156974,0.401852
990,0.00195576,0.500675
991,0.00210768,0.539567
992,0.00143988,0.368608
993,0.00074069,0.189617
994,0.00264981,0.678351
995,0.00063271,0.161974
996,0.00129960,0.332697
997,0.00184685,0.472794
998,0.00025936,0.066395
999,0.00035011,0.089628
1000,0.00077443,0.198255
1001,0.00014585,0.037337
1002,0.00196115,0.502055
1003,0.00125186,0.320475
1004,0.00295127,0.755524
1005,0.00088094,0.225522
1006,0.00054617,0.139821
1007,0.00057066,0.146090
1008,0.00155245,0.397428
1009,0.00222707,0.570130
1010,0.00107306,0.274703
1011,0.00146839,0.375909
1012,0.00115382,0.295377
1013,0.00092607,0.237074
1014,0.00258051,0.660612
1015,0.00019448,0.049786
1016,0.00081982,0.209875
1017,0.00041206,0.105488
1018,0.00011646,0.029814
1019,0.00063543,0.162670
1020,0.00177148,0.453499
1021,0.00154324,0.395069
1022,0.00172317,0.441132
1023,0.00227381,0.582095
1024,0.00054971,0.140725
1025,0.00121545,0.311156
1026,0.00267967,0.685994
1027,0.00247666,0.634024
1028,0.00275395,0.705012
1029,0.00036928,0.094535
1030,0.00406217,1.039916
1031,0.00125660,0.321689
1032,0.00065662,0.168094
1033,0.00132051,0.338050
1034,0.00227932,0.583507
1035,0.00114065,0.292007
1036,0.00008406,0.021519
1037,0.00067870,0.173747
1038,0.00002654,0.006793
1039,0.00089245,0.228468
1040,0.00374802,0.959494
1041,0.00090544,0.231792
1042,0.00020946,0.053623
1043,0.00148069,0.379056
1044,0.00010216,0.026152
1045,0.00021632,0.055379
1046,0.00150651,0.385668
1047,0.00082622,0.211512
1048,0.00014275,0.036544
